Serial No,Crime_Type,Year_of_Crime,Gender,Area_Name,Detailed_Area,Latitude,Longitude,Location,Time,link
1,Theft,2024,Female,Bashundhara R/A,Bashundhara R/A D-Block,23.813764,90.433059,"(23.813764, 90.433059)",Night,https://www.facebook.com/share/p/1XjhYYPqbk/
2,Assault,2023,Female,Bashundhara R/A,Bashundhara Madani Avenue Nursery,23.800218,90.446824,"(23.800218, 90.446824)",Morning,https://www.dhakatribune.com/bangladesh/dhaka/310201/woman-allegedly-assaulted-hair-shaved-in-dhaka%E2%80%99s
3,Murder,2025,Female,Purbachal,"Gutiyabo, Purbachal",23.851302,90.486335,"(23.851302, 90.486335)",Morning,https://www.dhakatribune.com/bangladesh/dhaka/375353/purbachal%E2%80%99s-300-feet-road-turns-into-a-crime
4,Murder,2024,Female,Purbachal,Bridge No 4 in Sector 2 of Purbachal,23.832019,90.506819,"(23.832019, 90.506819)",,https://www.dhakatribune.com/bangladesh/dhaka/375353/purbachal%E2%80%99s-300-feet-road-turns-into-a-crime
5,Murder,2024,Male,Purbachal,Kanchan Bridge on the western side of the 300 Feet road in Purbachal,23.835319,90.544462,"(23.835319, 90.544462)",,https://www.dhakatribune.com/bangladesh/dhaka/375353/purbachal%E2%80%99s-300-feet-road-turns-into-a-crime
6,Murder,2024,Male,Purbachal,Purbachal’s Agla area,23.88872405,90.56259357,"(23.888724054830835, 90.5625935696315)",Noon,https://www.dhakatribune.com/bangladesh/dhaka/375353/purbachal%E2%80%99s-300-feet-road-turns-into-a-crime
7,Robbery,2025,"Male, Female",Purbachal,Kadirar Tek area of Purbachal’s 300 Feet road,23.83538008,90.4694994,"(23.835380077046196, 90.46949939738627)",Midnight,https://www.dhakatribune.com/bangladesh/dhaka/375353/purbachal%E2%80%99s-300-feet-road-turns-into-a-crime
8,Robbery,2025,Male,Purbachal,Stadium area of Purbachal’s 300 Feet road,23.83734282,90.48145132,"(23.83734281756081, 90.48145132075113)",Dawn,https://www.dhakatribune.com/bangladesh/dhaka/375353/purbachal%E2%80%99s-300-feet-road-turns-into-a-crime
9,Robbery,2024,Male,Purbachal,Purbachal’s Jalshiri area,23.81233062,90.51257785,"(23.81233061749353, 90.51257784962675)",Dawn,https://www.dhakatribune.com/bangladesh/dhaka/375353/purbachal%E2%80%99s-300-feet-road-turns-into-a-crime
10,Robbery,2024,,Purbachal,Sector 8 of Purbachal,23.84447781,90.52013272,"(23.844477811708302, 90.5201327174104)",Midnight,https://www.dhakatribune.com/bangladesh/dhaka/375353/purbachal%E2%80%99s-300-feet-road-turns-into-a-crime
